latitude,longitude,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
 -32.5500, 150.0000,1990-02-27,    0.2,25, 25.7,25, 12.9,25, 14.8,25, 12.4,26,  5.7,25,  6.0,26,  5.7,25, 5.5,26, 24.0,25, 44.8,26, 99.5,26,  4.6,26,  5.6,26, 4.3,26, 6.5,26, 5.4,26,1021.1,25,""
 -32.5500, 150.0000,1990-02-28,    0.0,25, 26.9,25, 12.8,25, 16.3,25, 12.4,26,  4.6,25,  5.0,26,  4.6,25, 4.0,26, 16.8,25, 46.0,26,100.0,26,  3.8,26,  4.7,26, 2.8,26, 5.0,26, 3.9,26,1016.9,25,""
 -32.5500, 150.0000,1990-03-01,    0.0,25, 29.0,25, 13.5,25, 17.8,25, 14.1,26,  5.2,25,  5.2,26,  5.2,25, 4.7,26, 19.7,25, 44.4,26,100.0,26,  4.3,26,  5.4,26, 3.6,26, 5.7,26, 4.7,26,1015.9,25,""
 -32.5500, 150.0000,1990-03-02,    1.0,25, 27.1,25, 15.4,25, 18.1,25, 12.0,26,  5.7,25,  4.9,26,  5.7,25, 4.9,26, 20.2,25, 50.5,26,100.0,26,  4.2,26,  5.1,26, 3.9,26, 5.7,26, 4.8,26,1018.2,25,""
 -32.5500, 150.0000,1990-03-03,    0.0,25, 30.0,25, 13.9,25, 17.6,25, 16.0,26,  6.3,25,  5.9,26,  6.3,25, 5.6,26, 23.0,25, 41.5,26,100.0,26,  4.9,26,  6.1,26, 4.2,26, 6.7,26, 5.5,26,1020.6,25,""
 -32.5500, 150.0000,1990-03-04,    0.0,25, 30.3,25, 14.3,25, 17.9,25, 16.3,26,  7.0,25,  6.0,26,  7.0,25, 5.9,26, 23.9,25, 41.5,26,100.0,26,  5.1,26,  6.3,26, 4.5,26, 7.0,26, 5.8,26,1019.3,25,""
 -32.5500, 150.0000,1990-03-05,    0.0,25, 31.4,25, 13.8,25, 17.9,25, 17.7,26,  6.1,25,  6.2,26,  6.1,25, 5.6,26, 23.0,25, 38.9,26,100.0,26,  5.1,26,  6.4,26, 4.1,26, 7.0,26, 5.6,26,1017.9,25,""
 -32.5500, 150.0000,1990-03-06,   12.1,25, 24.8,25, 17.7,25, 19.9,25,  8.2,26,  4.0,25,  3.2,26,  4.0,25, 3.4,26, 11.6,25, 63.6,26, 98.3,26,  2.7,26,  3.4,26, 2.8,26, 4.0,26, 3.4,26,1011.6,25,""
 -32.5500, 150.0000,1990-03-07,    1.2,25, 18.9,25, 10.0,25, 11.1,25,  7.9,26,  4.5,25,  4.1,26,  4.5,25, 3.8,26, 19.0,25, 50.9,26, 90.5,26,  3.3,26,  4.1,26, 2.7,26, 4.8,26, 3.7,26,1007.6,25,""
 -32.5500, 150.0000,1990-03-08,    0.0,25, 21.8,25,  8.4,25, 10.5,25, 10.7,26,  4.9,25,  5.2,26,  4.9,25, 4.9,26, 23.9,25, 40.2,26, 95.3,26,  4.1,26,  5.1,26, 3.5,26, 6.1,26, 4.8,26,1009.6,25,""
